Plus Sign<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector being the permutation of вҚі1вҶ‘вҚҙY that places the sub-arrays of Y along the first axis in ascending order according to the collation sequence X. <br/> If X is a vector, the following identity holds: <br/> If X is a higher-rank array, each axis of X represents a grading attribute in increasing order of importance (the first axis is the least significant and the last axis is the most significant).  If a character is repeated in X, it is treated as though it were located at the position in the array determined by the lowest index in each axis for all occurrences of the character.  The character has the same weighting as the character located at the derived position in X.<br/><br/>What is the name of this glyph?",GradeUp(Dyadic) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Up.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Up Dyadic.htm'>Take me to primitive function documentation</a>,Docs->Name
⍋<br/><br/>What does this glyph do?,"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector being the permutation of вҚі1вҶ‘вҚҙY that places the sub-arrays of Y along the first axis in ascending order according to the collation sequence X. <br/> If X is a vector, the following identity holds: <br/> If X is a higher-rank array, each axis of X represents a grading attribute in increasing order of importance (the first axis is the least significant and the last axis is the most significant).  If a character is repeated in X, it is treated as though it were located at the position in the array determined by the lowest index in each axis for all occurrences of the character.  The character has the same weighting as the character located at the derived position in X. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Up.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Up Monadic.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Up Dyadic.htm'>Take me to Link</a>",Sym->Docs
⍋<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Grade Up <br/> Monadic: Grade Up <br/> Dyadic: Dyadic Grade Up <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Up.htm'>Take me to symbol documentation</a>,Sym->Name
Grade Down<br/><br/>What does this glyph look like?,⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Grade Down<br/><br/>What does this glyph look like?,⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic). <br/> ⎕IO is an implicit argument of Grade Down. <br/> Note that character arrays sort differently in the Unicode and Classic Editions.
<br/><br/>What does this glyph look like?",⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Monadic.htm'>Take me to primitive function documentation</a>,Docs->Sym
GradeDown(Monadic)<br/><br/>What does this glyph look like?,⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Monadic.htm'>Take me to primitive function documentation</a>,Name->Sym
GradeDown(Monadic)<br/><br/>What does this glyph do?,"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic). <br/> ⎕IO is an implicit argument of Grade Down. <br/> Note that character arrays sort differently in the Unicode and Classic Editions.
 <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Monadic.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic). <br/> ⎕IO is an implicit argument of Grade Down. <br/> Note that character arrays sort differently in the Unicode and Classic Editions.
<br/><br/>What is the name of this glyph?",GradeDown(Monadic) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Monadic.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Dyadic Grade Down<br/><br/>What does this glyph look like?,⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order. <br/> If X is a vector, the following identity holds: <br/> A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way. <br/> Starting with the last axis: <br/> The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted. <br/> For example, if index origin is 1: <br/> Along last axis: <br/> Duplicates exist, so resolve these with respect to the first axis: <br/> So the final row ordering is: <br/> That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of: <br/> The following results are tabulated for comparison: <br/> ⎕IO is an implicit argument of Grade Down.<br/><br/>What does this glyph look like?",⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Dyadic.htm'>Take me to primitive function documentation</a>,Docs->Sym
GradeDown(Dyadic)<br/><br/>What does this glyph look like?,⍒ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Dyadic.htm'>Take me to primitive function documentation</a>,Name->Sym
GradeDown(Dyadic)<br/><br/>What does this glyph do?,"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order. <br/> If X is a vector, the following identity holds: <br/> A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way. <br/> Starting with the last axis: <br/> The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted. <br/> For example, if index origin is 1: <br/> Along last axis: <br/> Duplicates exist, so resolve these with respect to the first axis: <br/> So the final row ordering is: <br/> That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of: <br/> The following results are tabulated for comparison: <br/> ⎕IO is an implicit argument of Grade Down. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Dyadic.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order. <br/> If X is a vector, the following identity holds: <br/> A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way. <br/> Starting with the last axis: <br/> The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted. <br/> For example, if index origin is 1: <br/> Along last axis: <br/> Duplicates exist, so resolve these with respect to the first axis: <br/> So the final row ordering is: <br/> That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of: <br/> The following results are tabulated for comparison: <br/> ⎕IO is an implicit argument of Grade Down.<br/><br/>What is the name of this glyph?",GradeDown(Dyadic) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Dyadic.htm'>Take me to primitive function documentation</a>,Docs->Name
⍒<br/><br/>What does this glyph do?,"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order. <br/> If X is a vector, the following identity holds: <br/> A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way. <br/> Starting with the last axis: <br/> The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted. <br/> For example, if index origin is 1: <br/> Along last axis: <br/> Duplicates exist, so resolve these with respect to the first axis: <br/> So the final row ordering is: <br/> That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of: <br/> The following results are tabulated for comparison: <br/> ⎕IO is an implicit argument of Grade Down. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Monadic.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Grade Down Dyadic.htm'>Take me to Link</a>",Sym->Docs
⍒<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Grade Down <br/> Monadic: Grade Down <br/> Dyadic: Dyadic Grade Down <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Grade Down.htm'>Take me to symbol documentation</a>,Sym->Name
Hydrant<br/><br/>What does this glyph look like?,⍎ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Execute expression<br/><br/>What does this glyph look like?,⍎ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.<br/><br/>What does this glyph look like?",⍎ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to primitive function documentation</a>,Docs->Sym
Execute<br/><br/>What does this glyph do?,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.<br/><br/>What is the name of this glyph?",Execute <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Execute expression in given namespace<br/><br/>What does this glyph look like?,⍎ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.<br/><br/>What does this glyph look like?",⍎ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to primitive function documentation</a>,Docs->Sym
Execute<br/><br/>What does this glyph do?,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.<br/><br/>What is the name of this glyph?",Execute <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to primitive function documentation</a>,Docs->Name
⍎<br/><br/>What does this glyph do?,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters. <br/> If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed. <br/>  If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR. <br/> If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return. <br/> If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Execute.htm'>Take me to Link</a>",Sym->Docs
⍎<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Hydrant <br/> Monadic: Execute expression <br/> Dyadic: Execute expression in given namespace <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Execute Symbol.htm'>Take me to symbol documentation</a>,Sym->Name
Thorn<br/><br/>What does this glyph look like?,⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Format<br/><br/>What does this glyph look like?,⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y. <br/> If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers. <br/> Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point. <br/> If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements. <br/> If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that: <br/> If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector. <br/> By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed: <br/> If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix. <br/> By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed: <br/> ⎕PP is an implicit argument of Monadic Format.<br/><br/>What does this glyph look like?",⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Monadic.htm'>Take me to primitive function documentation</a>,Docs->Sym
Format(Monadic)<br/><br/>What does this glyph look like?,⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Monadic.htm'>Take me to primitive function documentation</a>,Name->Sym
Format(Monadic)<br/><br/>What does this glyph do?,"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y. <br/> If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers. <br/> Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point. <br/> If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements. <br/> If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that: <br/> If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector. <br/> By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed: <br/> If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix. <br/> By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed: <br/> ⎕PP is an implicit argument of Monadic Format. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Monadic.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y. <br/> If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers. <br/> Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point. <br/> If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements. <br/> If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that: <br/> If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector. <br/> By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed: <br/> If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix. <br/> By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed: <br/> ⎕PP is an implicit argument of Monadic Format.<br/><br/>What is the name of this glyph?",Format(Monadic) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Monadic.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Format By Specification<br/><br/>What does this glyph look like?,⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a simple real (non-complex) numeric array.  X must be a simple integer scalar or vector.  R is a character array displaying the array Y according to the specification X.  R has rank 1⌈⍴⍴Y and ¯1↓⍴R is ¯1↓⍴Y. If any element of Y is complex, dyadic ⍕ reports a DOMAIN ERROR. <br/> Conformability requires that if X has more than two elements, then ⍴X must be 2×¯1↑⍴Y. If X contains one element, it is extended to (2×¯1↑⍴Y)⍴0,X.  If X contains 2 elements, it is extended to (2×¯1↑⍴Y)⍴X. <br/> X specifies two numbers (possibly after extension) for each column in Y.  For this purpose, scalar Y is treated as a one-element vector.  Each pair of numbers in X identifies a format width (W) and a format precision (P). <br/> If P is 0, the column is to be formatted as integers. <br/> If P is positive, the format is floating point with P significant digits to be displayed after the decimal point. <br/> If P is negative, scaled format is used with |P digits in the mantissa. <br/> If W is 0 or absent, then the width of the corresponding columns of R are determined by the maximum width required by any element in the corresponding columns of Y, plus one separating space. <br/> If a formatted element exceeds its specified field width when W>0, the field width for that element is filled with asterisks. <br/> If the format precision exceeds the internal precision, low order digits are replaced by the symbol '_'. <br/> The shape of R is the same as the shape of Y except that the last dimension of R is the sum of the field widths specified in X or deduced by the function.  If Y is a scalar, the shape of R is the field width.<br/><br/>What does this glyph look like?",⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Dyadic.htm'>Take me to primitive function documentation</a>,Docs->Sym
Format(Dyadic)<br/><br/>What does this glyph look like?,⍕ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Dyadic.htm'>Take me to primitive function documentation</a>,Name->Sym
Format(Dyadic)<br/><br/>What does this glyph do?,"Y must be a simple real (non-complex) numeric array.  X must be a simple integer scalar or vector.  R is a character array displaying the array Y according to the specification X.  R has rank 1⌈⍴⍴Y and ¯1↓⍴R is ¯1↓⍴Y. If any element of Y is complex, dyadic ⍕ reports a DOMAIN ERROR. <br/> Conformability requires that if X has more than two elements, then ⍴X must be 2×¯1↑⍴Y. If X contains one element, it is extended to (2×¯1↑⍴Y)⍴0,X.  If X contains 2 elements, it is extended to (2×¯1↑⍴Y)⍴X. <br/> X specifies two numbers (possibly after extension) for each column in Y.  For this purpose, scalar Y is treated as a one-element vector.  Each pair of numbers in X identifies a format width (W) and a format precision (P). <br/> If P is 0, the column is to be formatted as integers. <br/> If P is positive, the format is floating point with P significant digits to be displayed after the decimal point. <br/> If P is negative, scaled format is used with |P digits in the mantissa. <br/> If W is 0 or absent, then the width of the corresponding columns of R are determined by the maximum width required by any element in the corresponding columns of Y, plus one separating space. <br/> If a formatted element exceeds its specified field width when W>0, the field width for that element is filled with asterisks. <br/> If the format precision exceeds the internal precision, low order digits are replaced by the symbol '_'. <br/> The shape of R is the same as the shape of Y except that the last dimension of R is the sum of the field widths specified in X or deduced by the function.  If Y is a scalar, the shape of R is the field width. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Dyadic.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y must be a simple real (non-complex) numeric array.  X must be a simple integer scalar or vector.  R is a character array displaying the array Y according to the specification X.  R has rank 1⌈⍴⍴Y and ¯1↓⍴R is ¯1↓⍴Y. If any element of Y is complex, dyadic ⍕ reports a DOMAIN ERROR. <br/> Conformability requires that if X has more than two elements, then ⍴X must be 2×¯1↑⍴Y. If X contains one element, it is extended to (2×¯1↑⍴Y)⍴0,X.  If X contains 2 elements, it is extended to (2×¯1↑⍴Y)⍴X. <br/> X specifies two numbers (possibly after extension) for each column in Y.  For this purpose, scalar Y is treated as a one-element vector.  Each pair of numbers in X identifies a format width (W) and a format precision (P). <br/> If P is 0, the column is to be formatted as integers. <br/> If P is positive, the format is floating point with P significant digits to be displayed after the decimal point. <br/> If P is negative, scaled format is used with |P digits in the mantissa. <br/> If W is 0 or absent, then the width of the corresponding columns of R are determined by the maximum width required by any element in the corresponding columns of Y, plus one separating space. <br/> If a formatted element exceeds its specified field width when W>0, the field width for that element is filled with asterisks. <br/> If the format precision exceeds the internal precision, low order digits are replaced by the symbol '_'. <br/> The shape of R is the same as the shape of Y except that the last dimension of R is the sum of the field widths specified in X or deduced by the function.  If Y is a scalar, the shape of R is the field width.<br/><br/>What is the name of this glyph?",Format(Dyadic) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Thorn Symbol.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Format Dyadic.htm'>Take me to primitive function documentation</a>,Docs->Name
