Plus Sign,+
IntervalIndex,⍸
IntervalIndex,"Classic Edition: the symbol ⍸ (Iota Underbar) is not available in Classic Edition, and Interval Index is instead represented by ⎕U2378.<br/>X is an ordered non-scalar array that represents a set of intervals or ranges.<br/>Note that the ith interval starts at  X[i], then includes all subsequent values up to but not including X[i+1]. <br/>For example, if X is  (1 3 5) it defines 4 intervals numbered 0 to 3 as follows.<br/>If X is 'AEIOU' it defines 6 intervals numbered 0 to 5 as follows:<br/>Y is an array of the same type (numeric or character) as X.<br/>The result R is an integer array that identifies into which interval  the corresponding value in Y falls.<br/>Like dyadic ⍳ (see Index Of), Interval Index works with major cells. For a vector these are its elements; for a matrix its rows, and so forth.<br/>X and Y are compared using  the same logic as monadic ⍋ (see Grade Up (Monadic)) which is independent of ⎕CT and ⎕DCT. <br/>⎕IO is an implicit argument of Interval Index. In all the following examples, ⎕IO is 1.<br/>In the above example:<br/>And in the alphabetic example above:<br/>Commercially, olive oil is graded as follows:<br/>x represents some data sampled in chronological order at timestamps t.<br/>
u represents timestamps for 5-minute intervals:<br/>
Therefore, the expression (u⍸t){+/⍵}⌸x summarises x in 5-minute intervals.<br/>If X is a higher rank array, the function compares sub-arrays in Y  with the major cells of  X, where a major cell is  a sub-array on the leading dimension of X with shape 1↓⍴X. In this case, the shape of the result R is (1-⍴⍴X)↓⍴Y.<br/>A card-player likes to sort a hand into suits spades, hearts, diamond, clubs (fortunately alphabetic) and high-to-low within each suit.<br/>Another card, the 10 of diamonds is dealt. Where must it go in the hand ?<br/>Note that if (∧/Y∊X) and X is sorted and ⎕CT=0 ,then x⍸y is the same as x⍳y."
"Classic Edition: the symbol ⍸ (Iota Underbar) is not available in Classic Edition, and Interval Index is instead represented by ⎕U2378.<br/>X is an ordered non-scalar array that represents a set of intervals or ranges.<br/>Note that the ith interval starts at  X[i], then includes all subsequent values up to but not including X[i+1]. <br/>For example, if X is  (1 3 5) it defines 4 intervals numbered 0 to 3 as follows.<br/>If X is 'AEIOU' it defines 6 intervals numbered 0 to 5 as follows:<br/>Y is an array of the same type (numeric or character) as X.<br/>The result R is an integer array that identifies into which interval  the corresponding value in Y falls.<br/>Like dyadic ⍳ (see Index Of), Interval Index works with major cells. For a vector these are its elements; for a matrix its rows, and so forth.<br/>X and Y are compared using  the same logic as monadic ⍋ (see Grade Up (Monadic)) which is independent of ⎕CT and ⎕DCT. <br/>⎕IO is an implicit argument of Interval Index. In all the following examples, ⎕IO is 1.<br/>In the above example:<br/>And in the alphabetic example above:<br/>Commercially, olive oil is graded as follows:<br/>x represents some data sampled in chronological order at timestamps t.<br/>
u represents timestamps for 5-minute intervals:<br/>
Therefore, the expression (u⍸t){+/⍵}⌸x summarises x in 5-minute intervals.<br/>If X is a higher rank array, the function compares sub-arrays in Y  with the major cells of  X, where a major cell is  a sub-array on the leading dimension of X with shape 1↓⍴X. In this case, the shape of the result R is (1-⍴⍴X)↓⍴Y.<br/>A card-player likes to sort a hand into suits spades, hearts, diamond, clubs (fortunately alphabetic) and high-to-low within each suit.<br/>Another card, the 10 of diamonds is dealt. Where must it go in the hand ?<br/>Note that if (∧/Y∊X) and X is sorted and ⎕CT=0 ,then x⍸y is the same as x⍳y.",IntervalIndex
⍸,Iota Underbar<br/>Monadic: Where<br/>Dyadic: Interval Index
Squad,⌷
: Materialise,⌷
"If Y is a ref to an instance of a Dyalog Class with a Default  property:<br/>If  Y is a ref to an instance of a COM or .NET Collection object, ⌷ returns a vector containing all its items.<br/>Otherwise, if Y is an array, Y is returned.<br/>The following example uses the sample ComponentFile Class.<br/>The following example shows how ⌷obtains the items in an Excel Sheets collection .<br/>Note that the values of the index set are obtained or assigned by calls to the corresponding PropertyGet and PropertySet functions. Furthermore, if there is a sequence of primitive functions to the left of the Index function, that operate on the index set itself (functions such as dyadic ⍴,↑,↓,⊃) as opposed to functions that operate on the values of the index set (functions such as +,⌈,⌊,⍴¨), calls to the PropertyGet and PropertySet functions are deferred until the required index set has been completely determined. The full set of functions that cause deferral of calls to the PropertyGet and PropertySet functions is the same as the set of functions that applies to selective specification.<br/>If for example, CompFile is an Instance of the ComponentFile Class:<br/>would only call the PropertyGet function (for CompFile) once, to get the value of the last element.<br/>Note that similarly, the expression <br/>would call the PropertyGet function 10000 times, on repeated indices if CompFile has less than 10000 elements. The deferral of access function calls is intended to be an optimisation, but can have the opposite effect. You can avoid unnecessary repetitive calls by assigning the result of ⌷ to a temporary variable.",⌷
⌷,"If Y is a ref to an instance of a Dyalog Class with a Default  property:<br/>If  Y is a ref to an instance of a COM or .NET Collection object, ⌷ returns a vector containing all its items.<br/>Otherwise, if Y is an array, Y is returned.<br/>The following example uses the sample ComponentFile Class.<br/>The following example shows how ⌷obtains the items in an Excel Sheets collection .<br/>Note that the values of the index set are obtained or assigned by calls to the corresponding PropertyGet and PropertySet functions. Furthermore, if there is a sequence of primitive functions to the left of the Index function, that operate on the index set itself (functions such as dyadic ⍴,↑,↓,⊃) as opposed to functions that operate on the values of the index set (functions such as +,⌈,⌊,⍴¨), calls to the PropertyGet and PropertySet functions are deferred until the required index set has been completely determined. The full set of functions that cause deferral of calls to the PropertyGet and PropertySet functions is the same as the set of functions that applies to selective specification.<br/>If for example, CompFile is an Instance of the ComponentFile Class:<br/>would only call the PropertyGet function (for CompFile) once, to get the value of the last element.<br/>Note that similarly, the expression <br/>would call the PropertyGet function 10000 times, on repeated indices if CompFile has less than 10000 elements. The deferral of access function calls is intended to be an optimisation, but can have the opposite effect. You can avoid unnecessary repetitive calls by assigning the result of ⌷ to a temporary variable."
Materialise,"If Y is a ref to an instance of a Dyalog Class with a Default  property:<br/>If  Y is a ref to an instance of a COM or .NET Collection object, ⌷ returns a vector containing all its items.<br/>Otherwise, if Y is an array, Y is returned.<br/>The following example uses the sample ComponentFile Class.<br/>The following example shows how ⌷obtains the items in an Excel Sheets collection .<br/>Note that the values of the index set are obtained or assigned by calls to the corresponding PropertyGet and PropertySet functions. Furthermore, if there is a sequence of primitive functions to the left of the Index function, that operate on the index set itself (functions such as dyadic ⍴,↑,↓,⊃) as opposed to functions that operate on the values of the index set (functions such as +,⌈,⌊,⍴¨), calls to the PropertyGet and PropertySet functions are deferred until the required index set has been completely determined. The full set of functions that cause deferral of calls to the PropertyGet and PropertySet functions is the same as the set of functions that applies to selective specification.<br/>If for example, CompFile is an Instance of the ComponentFile Class:<br/>would only call the PropertyGet function (for CompFile) once, to get the value of the last element.<br/>Note that similarly, the expression <br/>would call the PropertyGet function 10000 times, on repeated indices if CompFile has less than 10000 elements. The deferral of access function calls is intended to be an optimisation, but can have the opposite effect. You can avoid unnecessary repetitive calls by assigning the result of ⌷ to a temporary variable."
"If Y is a ref to an instance of a Dyalog Class with a Default  property:<br/>If  Y is a ref to an instance of a COM or .NET Collection object, ⌷ returns a vector containing all its items.<br/>Otherwise, if Y is an array, Y is returned.<br/>The following example uses the sample ComponentFile Class.<br/>The following example shows how ⌷obtains the items in an Excel Sheets collection .<br/>Note that the values of the index set are obtained or assigned by calls to the corresponding PropertyGet and PropertySet functions. Furthermore, if there is a sequence of primitive functions to the left of the Index function, that operate on the index set itself (functions such as dyadic ⍴,↑,↓,⊃) as opposed to functions that operate on the values of the index set (functions such as +,⌈,⌊,⍴¨), calls to the PropertyGet and PropertySet functions are deferred until the required index set has been completely determined. The full set of functions that cause deferral of calls to the PropertyGet and PropertySet functions is the same as the set of functions that applies to selective specification.<br/>If for example, CompFile is an Instance of the ComponentFile Class:<br/>would only call the PropertyGet function (for CompFile) once, to get the value of the last element.<br/>Note that similarly, the expression <br/>would call the PropertyGet function 10000 times, on repeated indices if CompFile has less than 10000 elements. The deferral of access function calls is intended to be an optimisation, but can have the opposite effect. You can avoid unnecessary repetitive calls by assigning the result of ⌷ to a temporary variable.",Materialise
: Index,⌷
"X must be a scalar or vector of depth ≤2, of integers each ≥⎕IO. Y may be any array. K is a simple scalar or vector specifying axes of Y. The length of K must be the same as the length of X:<br/>In general, the result R is similar to that obtained by square-bracket indexing with elided subscripts. Items of K distribute items of X along the axes of Y. For example:<br/>Note that index with axis may be used with selective specification. ⎕IO is an implicit argument of index with axis.",⌷
⌷,"X must be a scalar or vector of depth ≤2, of integers each ≥⎕IO. Y may be any array. K is a simple scalar or vector specifying axes of Y. The length of K must be the same as the length of X:<br/>In general, the result R is similar to that obtained by square-bracket indexing with elided subscripts. Items of K distribute items of X along the axes of Y. For example:<br/>Note that index with axis may be used with selective specification. ⎕IO is an implicit argument of index with axis."
IndexwithAxes,⌷
IndexwithAxes,"X must be a scalar or vector of depth ≤2, of integers each ≥⎕IO. Y may be any array. K is a simple scalar or vector specifying axes of Y. The length of K must be the same as the length of X:<br/>In general, the result R is similar to that obtained by square-bracket indexing with elided subscripts. Items of K distribute items of X along the axes of Y. For example:<br/>Note that index with axis may be used with selective specification. ⎕IO is an implicit argument of index with axis."
"X must be a scalar or vector of depth ≤2, of integers each ≥⎕IO. Y may be any array. K is a simple scalar or vector specifying axes of Y. The length of K must be the same as the length of X:<br/>In general, the result R is similar to that obtained by square-bracket indexing with elided subscripts. Items of K distribute items of X along the axes of Y. For example:<br/>Note that index with axis may be used with selective specification. ⎕IO is an implicit argument of index with axis.",IndexwithAxes
⌷,Squad<br/>: Materialise<br/>: Index
Grade Up,⍋
Monadic: Grade Up,⍋
"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in ascending order. The rules for comparing items of Y with one another are as follows:<br/>⎕IO is an implicit argument of Grade Up<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
",⍋
⍋,"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in ascending order. The rules for comparing items of Y with one another are as follows:<br/>⎕IO is an implicit argument of Grade Up<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
"
GradeUp(Monadic),⍋
GradeUp(Monadic),"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in ascending order. The rules for comparing items of Y with one another are as follows:<br/>⎕IO is an implicit argument of Grade Up<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
"
"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in ascending order. The rules for comparing items of Y with one another are as follows:<br/>⎕IO is an implicit argument of Grade Up<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
",GradeUp(Monadic)
Dyadic: Dyadic Grade Up,⍋
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector being the permutation of вҚі1вҶ‘вҚҙY that places the sub-arrays of Y along the first axis in ascending order according to the collation sequence X.<br/>If X is a vector, the following identity holds:<br/>If X is a higher-rank array, each axis of X represents a grading attribute in increasing order of importance (the first axis is the least significant and the last axis is the most significant).  If a character is repeated in X, it is treated as though it were located at the position in the array determined by the lowest index in each axis for all occurrences of the character.  The character has the same weighting as the character located at the derived position in X.",⍋
⍋,"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector being the permutation of вҚі1вҶ‘вҚҙY that places the sub-arrays of Y along the first axis in ascending order according to the collation sequence X.<br/>If X is a vector, the following identity holds:<br/>If X is a higher-rank array, each axis of X represents a grading attribute in increasing order of importance (the first axis is the least significant and the last axis is the most significant).  If a character is repeated in X, it is treated as though it were located at the position in the array determined by the lowest index in each axis for all occurrences of the character.  The character has the same weighting as the character located at the derived position in X."
GradeUp(Dyadic),⍋
GradeUp(Dyadic),"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector being the permutation of вҚі1вҶ‘вҚҙY that places the sub-arrays of Y along the first axis in ascending order according to the collation sequence X.<br/>If X is a vector, the following identity holds:<br/>If X is a higher-rank array, each axis of X represents a grading attribute in increasing order of importance (the first axis is the least significant and the last axis is the most significant).  If a character is repeated in X, it is treated as though it were located at the position in the array determined by the lowest index in each axis for all occurrences of the character.  The character has the same weighting as the character located at the derived position in X."
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector being the permutation of вҚі1вҶ‘вҚҙY that places the sub-arrays of Y along the first axis in ascending order according to the collation sequence X.<br/>If X is a vector, the following identity holds:<br/>If X is a higher-rank array, each axis of X represents a grading attribute in increasing order of importance (the first axis is the least significant and the last axis is the most significant).  If a character is repeated in X, it is treated as though it were located at the position in the array determined by the lowest index in each axis for all occurrences of the character.  The character has the same weighting as the character located at the derived position in X.",GradeUp(Dyadic)
⍋,Grade Up<br/>Monadic: Grade Up<br/>Dyadic: Dyadic Grade Up
Grade Down,⍒
Monadic: Grade Down,⍒
"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic).<br/>⎕IO is an implicit argument of Grade Down.<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
",⍒
⍒,"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic).<br/>⎕IO is an implicit argument of Grade Down.<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
"
GradeDown(Monadic),⍒
GradeDown(Monadic),"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic).<br/>⎕IO is an implicit argument of Grade Down.<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
"
"Y may be any array of rank greater than 0 but may not contain namespaces.  R is an integer vector being the permutation of ⍳1↑⍴Y that places the sub-arrays along the first axis in descending order. For the rules for comparing items of Y with one another, see Grade Up (Monadic).<br/>⎕IO is an implicit argument of Grade Down.<br/>Note that character arrays sort differently in the Unicode and Classic Editions.
",GradeDown(Monadic)
Dyadic: Dyadic Grade Down,⍒
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order.<br/>If X is a vector, the following identity holds:<br/>A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way.<br/>Starting with the last axis:<br/>The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted.<br/>For example, if index origin is 1:<br/>Along last axis:<br/>Duplicates exist, so resolve these with respect to the first axis:<br/>So the final row ordering is:<br/>That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of:<br/>The following results are tabulated for comparison:<br/>⎕IO is an implicit argument of Grade Down.",⍒
⍒,"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order.<br/>If X is a vector, the following identity holds:<br/>A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way.<br/>Starting with the last axis:<br/>The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted.<br/>For example, if index origin is 1:<br/>Along last axis:<br/>Duplicates exist, so resolve these with respect to the first axis:<br/>So the final row ordering is:<br/>That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of:<br/>The following results are tabulated for comparison:<br/>⎕IO is an implicit argument of Grade Down."
GradeDown(Dyadic),⍒
GradeDown(Dyadic),"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order.<br/>If X is a vector, the following identity holds:<br/>A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way.<br/>Starting with the last axis:<br/>The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted.<br/>For example, if index origin is 1:<br/>Along last axis:<br/>Duplicates exist, so resolve these with respect to the first axis:<br/>So the final row ordering is:<br/>That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of:<br/>The following results are tabulated for comparison:<br/>⎕IO is an implicit argument of Grade Down."
"Y must be a simple character array of rank greater than 0.  X must be a simple character array of rank 1 or greater.  R is a simple integer vector of shape 1↑⍴Y containing the permutation of ⍳1↑⍴Y that places the sub-arrays of Y along the first axis in descending order according to the collation sequence X.  The indices of any set of identical sub-arrays in Y occur in R in ascending order.<br/>If X is a vector, the following identity holds:<br/>A left argument of rank greater than 1 allows successive resolution of duplicate orderings in the following way.<br/>Starting with the last axis:<br/>The process is repeated using each axis in turn, from the last to the first, resolving duplicates until either no duplicates result or all axes have been exhausted.<br/>For example, if index origin is 1:<br/>Along last axis:<br/>Duplicates exist, so resolve these with respect to the first axis:<br/>So the final row ordering is:<br/>That is, the order of rows is 4 2 1 3 which corresponds to a descending row sort of:<br/>The following results are tabulated for comparison:<br/>⎕IO is an implicit argument of Grade Down.",GradeDown(Dyadic)
⍒,Grade Down<br/>Monadic: Grade Down<br/>Dyadic: Dyadic Grade Down
Hydrant,⍎
Monadic: Execute expression,⍎
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.",⍎
⍎,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space."
Execute,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space."
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.",Execute
Dyadic: Execute expression in given namespace,⍎
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.",⍎
⍎,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space."
Execute,"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space."
"Y must be a simple character scalar or vector containing an APL expression to be executed. The expression may contain one or more sub-expressions separated by ⋄ (Diamond) characters.<br/>If the result of the expression is used or is assigned to a name,  R is the result (if any) of the last-executed sub-expression and the non-shy results of all preceding expressions (that are not assigned within the expression) are displayed. Otherwise the unassigned non-shy results of all of the sub-expressions are displayed.<br/> If the expression is an empty vector or a vector containing only blanks or one that does not produce a result, then ⍎Y has no value and using or assigning it to a name will generate VALUE ERROR.<br/>If Y contains a branch expression, the branch is effected in the environment from which the Execute was invoked, and ⍎Y does not return.<br/>If specified, X must be a namespace reference or a simple character scalar or vector representing the name of a namespace in which the expression is to be executed. If X is omitted or is an empty character vector, the expression is executed in the current space.",Execute
⍎,Hydrant<br/>Monadic: Execute expression<br/>Dyadic: Execute expression in given namespace
Thorn,⍕
Monadic: Format,⍕
"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y.<br/>If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers.<br/>Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point.<br/>If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements.<br/>If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that:<br/>If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>⎕PP is an implicit argument of Monadic Format.",⍕
⍕,"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y.<br/>If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers.<br/>Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point.<br/>If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements.<br/>If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that:<br/>If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>⎕PP is an implicit argument of Monadic Format."
Format(Monadic),⍕
Format(Monadic),"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y.<br/>If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers.<br/>Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point.<br/>If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements.<br/>If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that:<br/>If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>⎕PP is an implicit argument of Monadic Format."
"Y may be any array.  R is a simple character array which will display identically to the display produced by Y.  The result is independent of ⎕PW.  If Y is a simple character array, then R is Y.<br/>If Y is a simple numeric scalar, then R is a vector containing the formatted number without any spaces.  A floating point number is formatted according to the system variable ⎕PP.  ⎕PP is ignored when formatting integers.<br/>Scaled notation is used if the magnitude of the non-integer number is too large to represent with ⎕PP significant digits or if the number requires more than five leading zeroes after the decimal point.<br/>If Y is a simple numeric vector, then R is a character vector in which each element of Y is independently formatted with a single separating space between formatted elements.<br/>If Y is a simple numeric array rank higher than one, R is a character array with the same shape as Y except that the last dimension of Y is determined by the length of the formatted data.  The format width is determined independently for each column of Y, such that:<br/>If Y is non-simple, and all items of Y at any depth are scalars or vectors, then R is a vector.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>If Y is non-simple, and all items of Y at any depth are not scalars, then R is a matrix.<br/>By replacing spaces with ^, it is clearer to see how the result of ⍕ is formed:<br/>⎕PP is an implicit argument of Monadic Format.",Format(Monadic)
Dyadic: Format By Specification,⍕
